# Force and moment coefficients
# dragDir             : (9.84807753012208e-01 1.73648177666930e-01 0.00000000000000e+00)
# sideDir             : (0.00000000000000e+00 0.00000000000000e+00 -1.00000000000000e+00)
# liftDir             : (-1.73648177666930e-01 9.84807753012208e-01 0.00000000000000e+00)
# rollAxis            : (9.84807753012208e-01 1.73648177666930e-01 0.00000000000000e+00)
# pitchAxis           : (0.00000000000000e+00 0.00000000000000e+00 -1.00000000000000e+00)
# yawAxis             : (-1.73648177666930e-01 9.84807753012208e-01 0.00000000000000e+00)
# magUInf             : 1.00000000000000e+00
# lRef                : 1.00000000000000e+00
# Aref                : 1.99895000000000e+00
# CofR                : (2.50000000000000e-01 0.00000000000000e+00 0.00000000000000e+00)
#
# Time                	Cd                    	Cd(f)                 	Cd(r)                 	Cl                    	Cl(f)                 	Cl(r)                 	CmPitch               	CmRoll                	CmYaw                 	Cs                    	Cs(f)                 	Cs(r)                 
2300                  	7.92617913589069e-02	3.81211405374931e-02	4.11406508214138e-02	2.11650389648430e+00	1.04474484475949e+00	1.07175905172481e+00	-1.35071034826570e-02	-1.50975514196034e-03	5.65394173187294e-05	-2.41180996727944e-15	5.65394173175235e-05	-5.65394173199353e-05
2350                  	7.92618479951322e-02	3.81211686421849e-02	4.11406793529473e-02	2.11650419567597e+00	1.04474499309868e+00	1.07175920257728e+00	-1.35071047393018e-02	-1.50975535538123e-03	5.65394577187571e-05	-2.41180994123032e-15	5.65394577175512e-05	-5.65394577199630e-05
2400                  	7.92618411634109e-02	3.81211653156350e-02	4.11406758477759e-02	2.11650407047244e+00	1.04474492330258e+00	1.07175914716986e+00	-1.35071119336441e-02	-1.50975526607044e-03	5.65394528455248e-05	-2.41180998300377e-15	5.65394528443189e-05	-5.65394528467307e-05
2450                  	7.92617915883285e-02	3.81211406508804e-02	4.11406509374481e-02	2.11650389833971e+00	1.04474484529054e+00	1.07175905304916e+00	-1.35071038793109e-02	-1.50975514328384e-03	5.65394174823775e-05	-2.41180996722245e-15	5.65394174811716e-05	-5.65394174835834e-05
2500                  	7.92618482082844e-02	3.81211687479538e-02	4.11406794603306e-02	2.11650419680751e+00	1.04474499350025e+00	1.07175920330726e+00	-1.35071049035059e-02	-1.50975535618842e-03	5.65394578708155e-05	-2.41180994122036e-15	5.65394578696096e-05	-5.65394578720214e-05
2550                  	7.92618408967490e-02	3.81211651839046e-02	4.11406757128444e-02	2.11650406822863e+00	1.04474492271287e+00	1.07175914551576e+00	-1.35071114014421e-02	-1.50975526446989e-03	5.65394526553108e-05	-2.41180998307798e-15	5.65394526541049e-05	-5.65394526565167e-05
2600                  	7.92617913589069e-02	3.81211405374931e-02	4.11406508214138e-02	2.11650389648430e+00	1.04474484475949e+00	1.07175905172481e+00	-1.35071034826570e-02	-1.50975514196034e-03	5.65394173187294e-05	-2.41180996727944e-15	5.65394173175235e-05	-5.65394173199353e-05
2650                  	7.92618479951283e-02	3.81211686421829e-02	4.11406793529454e-02	2.11650419567595e+00	1.04474499309867e+00	1.07175920257728e+00	-1.35071047393052e-02	-1.50975535538123e-03	5.65394577187603e-05	-2.41180994123032e-15	5.65394577175544e-05	-5.65394577199662e-05
2700                  	7.92618411634109e-02	3.81211653156350e-02	4.11406758477759e-02	2.11650407047244e+00	1.04474492330258e+00	1.07175914716986e+00	-1.35071119336441e-02	-1.50975526607044e-03	5.65394528455232e-05	-2.41180998300377e-15	5.65394528443173e-05	-5.65394528467291e-05
2750                  	7.92617915883301e-02	3.81211406508812e-02	4.11406509374489e-02	2.11650389833971e+00	1.04474484529054e+00	1.07175905304916e+00	-1.35071038793109e-02	-1.50975514328384e-03	5.65394174823791e-05	-2.41180996722245e-15	5.65394174811732e-05	-5.65394174835850e-05
2800                  	7.92618482082844e-02	3.81211687479538e-02	4.11406794603306e-02	2.11650419680751e+00	1.04474499350025e+00	1.07175920330726e+00	-1.35071049035059e-02	-1.50975535618842e-03	5.65394578708155e-05	-2.41180994122036e-15	5.65394578696096e-05	-5.65394578720214e-05
2850                  	7.92618408967473e-02	3.81211651839038e-02	4.11406757128436e-02	2.11650406822863e+00	1.04474492271288e+00	1.07175914551576e+00	-1.35071114014387e-02	-1.50975526446989e-03	5.65394526553108e-05	-2.41180998307798e-15	5.65394526541049e-05	-5.65394526565167e-05
2900                  	7.92617913589069e-02	3.81211405374931e-02	4.11406508214138e-02	2.11650389648430e+00	1.04474484475949e+00	1.07175905172481e+00	-1.35071034826570e-02	-1.50975514196034e-03	5.65394173187294e-05	-2.41180996727944e-15	5.65394173175235e-05	-5.65394173199353e-05
2950                  	7.92618479951306e-02	3.81211686421841e-02	4.11406793529465e-02	2.11650419567597e+00	1.04474499309868e+00	1.07175920257729e+00	-1.35071047393052e-02	-1.50975535538124e-03	5.65394577187594e-05	-2.41180994123032e-15	5.65394577175535e-05	-5.65394577199653e-05
