"Inner_Iter",    "Time(sec)"   ,    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   ,     "rms[nu]"    ,       "CD"       ,       "CL"       
          44, 0.019714844888889,  -3.8854034154553, -0.43001045625963, -0.88862654907328,   1.6902185329522,   -3.901275100962, 0.082036863832591,   1.2045133430165
          45, 0.019659529413043,  -3.8941638296769, -0.43941034579786, -0.90372551357832,   1.6803616465335,  -3.8863012567511, 0.081429416346984,   1.2097402416423
          46, 0.019606265914894,  -3.9050885754023, -0.44916993560547, -0.91933301505406,   1.6685997726834,   -3.871188557912,  0.08082090403168,   1.2145298218664
          47, 0.019554993458333,  -3.9165061234094, -0.45925993983841, -0.93527630173308,   1.6562629470598,  -3.8560049809964, 0.080196749529747,   1.2188342467734
          48, 0.019515442877551,  -3.9285722519157, -0.46964864287012, -0.95150955776994,   1.6433072380003,  -3.8404788888325, 0.079548755816362,   1.2226085611054
          49,     0.01948037126,  -3.9414640502397, -0.48029926909453, -0.96803734592611,   1.6296216844578,  -3.8248063083913, 0.078875203082175,   1.2258453367419
          50, 0.019434648568627,  -3.9551706349146, -0.49116947360775, -0.98481783854384,   1.6152218120158,  -3.8089218235713,  0.07817800312345,   1.2285670592754
          51, 0.019390031865385,   -3.969664432751, -0.50221513677293,  -1.0017681230832,   1.6001329216018,  -3.7927591402307, 0.077460871491975,   1.2308077294177
          52, 0.019348283113208,  -3.9849310424774, -0.51338254130096,  -1.0187881519764,    1.584374541696,  -3.7764737294587, 0.076728017746877,   1.2326008289659
          53, 0.019309470407407,  -4.0009229413358, -0.52461740630554,  -1.0357407600932,   1.5679964869278,  -3.7601441894419, 0.075983812069627,   1.2339774263765
          54, 0.019268635654545,  -4.0175553011319, -0.53586468585795,  -1.0524856489294,     1.55108150421,   -3.743855563905, 0.075232748624393,   1.2349678748546
          55, 0.019230900017857,  -4.0347219967285, -0.54705707463268,  -1.0688758704438,   1.5337358538726,  -3.7276752350039, 0.074479279899976,   1.2356037468612
          56, 0.019195104526316,  -4.0521718399786, -0.55816141351816,  -1.0847600040137,   1.5161756850766,  -3.7118929066101, 0.073728838973746,   1.2359193251379
          57, 0.019160365689655,  -4.0698573929085, -0.56912362217094,  -1.1000272203684,   1.4984584093259,  -3.6964879613708, 0.072986869119243,   1.2359499749861
