"Inner_Iter",    "Time(sec)"   ,    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   ,     "rms[nu]"    ,       "CD"       ,       "CL"       
          94, 0.017687856484211,  -7.2652263284218,  -6.4506907499013,  -6.8378690031366,  -6.8252393997117,  -8.5511634325403, 0.066725819706719,   1.2120896522537
          95, 0.017673141885417,  -7.2784474832064,  -6.4805090902231,  -6.8598906848467,  -6.8461218996522,  -8.5542538449327, 0.066817267957434,   1.2117393301616
          96, 0.017659415680412,  -7.2914297718303,  -6.5102085511261,  -6.8828632876568,  -6.8671636189336,  -8.5593799700247, 0.066905431155877,   1.2114136885255
          97, 0.017645655306122,  -7.3041083923479,  -6.5394286144429,  -6.9064995967035,  -6.8881394078281,  -8.5665050530626, 0.066990488084751,   1.2111154211676
          98, 0.017632388181818,  -7.3165077323221,  -6.5652873027857,  -6.9303854361475,  -6.9087632530976,  -8.5758269396356, 0.067072666923073,   1.2108486340197
          99,     0.01762108766,   -7.323760185387,  -6.5947706000628,  -6.9535381241166,  -6.9246095356502,  -8.5876576326052, 0.067152675674915,   1.2106145187965
         100, 0.017607995148515,   -7.340395845367,  -6.6199566446576,   -6.977420614457,  -6.9481736393685,  -8.6021015580926, 0.067230375066449,   1.2104193784841
         101, 0.017595053705882,  -7.3538546686955,  -6.6439519458835,  -6.9994789965459,  -6.9686028331881,  -8.6193723036292, 0.067306402307693,    1.210261292906
         102, 0.017582561533981,  -7.3665193945087,  -6.6665948284307,  -7.0203997845408,  -6.9870372382148,  -8.6396030990031, 0.067380235353635,   1.2101432490223
         103, 0.017571107403846,  -7.3840687236359,  -6.6868535719569,  -7.0392876814695,  -7.0093852083593,  -8.6629193761497, 0.067451925691676,   1.2100639386068
         104,      0.0175594336,  -7.4018543252368,  -6.7040741302996,  -7.0564175761719,  -7.0304509609861,  -8.6894176065567, 0.067521301372457,   1.2100246698015
         105, 0.017547629933962,  -7.4186647938387,   -6.721413076875,  -7.0711784425257,  -7.0492583200861,    -8.71915889692, 0.067588671623454,   1.2100246671536
         106, 0.017536407841121,  -7.4423629985867,  -6.7364414936145,  -7.0844405641152,  -7.0738602701264,  -8.7521674490154, 0.067653920472689,   1.2100653996274
         107, 0.017525438518519,  -7.4676612982191,  -6.7498916508542,  -7.0955817974022,  -7.0987517259481,  -8.7884001089168, 0.067717118480223,   1.2101438332048
         108, 0.017514489715596,  -7.4950257118217,  -6.7620893866076,  -7.1055335479373,   -7.124091296449,  -8.8277134601272, 0.067777941827295,   1.2102578308587
         109, 0.017503864136364,  -7.5247785358961,  -6.7732591304451,  -7.1144751432111,  -7.1502762163553,  -8.8697475502199, 0.067836160278056,   1.2104055959512
         110, 0.017493168108108,  -7.5569388581599,  -6.7835878628674,  -7.1228411879495,  -7.1772488508174,  -8.9140228131282, 0.067891685211851,   1.2105849935161
         111, 0.017483580151786,  -7.5912856638921,  -6.7932354361636,  -7.1310505432948,  -7.2047125326758,  -8.9597152210814, 0.067944414423522,   1.2107935733833
         112, 0.017473572451327,  -7.6273913769997,  -6.8023257201448,  -7.1394498584472,  -7.2322180488849,   -9.005383229261, 0.067994161420248,   1.2110286454434
         113, 0.017463694938596,  -7.6646237355481,  -6.8109756135803,  -7.1482798023508,  -7.2591805898614,  -9.0486507233149, 0.068040874101725,   1.2112876567292
         114, 0.017453742582609,  -7.7022021020318,  -6.8192709466321,  -7.1577200585948,   -7.285037923838,  -9.0882102460106, 0.068084439223779,   1.2115678729116
         115, 0.017443645586207,  -7.7392569174664,  -6.8272799278175,  -7.1678772999229,  -7.3092950620769,   -9.123560573593, 0.068124797772732,   1.2118666669048
         116, 0.017434071008547,  -7.7747800286623,  -6.8351607056259,  -7.1787828653764,  -7.3316033451085,  -9.1522255859383, 0.068161840640974,   1.2121813594437
         117, 0.017425651423729,  -7.8077753290868,  -6.8426409957769,  -7.1904039644744,  -7.3515243879124,  -9.1733656893677, 0.068195586426043,    1.212509600209
         118, 0.017416651798319,  -7.8374131054779,  -6.8501910020486,  -7.2026948911444,  -7.3690338991409,  -9.1870833504555, 0.068226075439238,   1.2128491707513
         119, 0.017408060291667,  -7.8636439509002,  -6.8576928966674,  -7.2154643694699,  -7.3847677549313,  -9.1943920694506, 0.068253354067568,   1.2131979865452
         120, 0.017399310380165,  -7.8855607300377,  -6.8652412368576,  -7.2286415525314,  -7.3984212866782,  -9.1967780887536, 0.068277489550608,   1.2135541279388
         121, 0.017390955409836,  -7.9033965825088,  -6.8729264301062,  -7.2420685638334,   -7.410374556653,   -9.195732505151, 0.068298581579615,   1.2139158660516
         122, 0.017382888918699,  -7.9173878881842,   -6.880847787846,  -7.2556335287683,  -7.4209138130701,  -9.1923639852139, 0.068316766486016,   1.2142816772931
         123, 0.017374164822581,  -7.9279342351264,  -6.8891101706551,  -7.2692598904646,  -7.4303111452506,  -9.1877806849834, 0.068332214717237,   1.2146502491229
         124,    0.017365721216,  -7.9354558945838,  -6.8978165070509,  -7.2829216694998,  -7.4387558750816,  -9.1826836896629, 0.068345125941865,   1.2150204675338
         125, 0.017357525452381,   -7.940392715899,  -6.9070734626547,  -7.2966475367553,  -7.4464045435983,  -9.1775677363771, 0.068355711159302,   1.2153914173045
         126, 0.017349402283465,  -7.9432393662929,  -6.9169698145097,  -7.3105272172641,  -7.4534243400877,  -9.1727631044931, 0.068364219158566,   1.2157623450709
         127, 0.017341339703125,  -7.9444722058373,  -6.9275803256471,  -7.3246755396463,  -7.4599796154139,  -9.1685624164539, 0.068370866121938,   1.2161325752612
         128, 0.017333326813953,  -7.9445961701281,  -6.9389553661384,  -7.3392679820615,  -7.4662357044679,  -9.1652502331591,  0.06837591346765,   1.2165016174037
         129, 0.017325784146154,  -7.9441902145142,  -6.9511064644619,  -7.3544705278096,  -7.4724592349764,   -9.163038661522, 0.068379594397914,   1.2168689955518
         130, 0.017318278954198,  -7.9437565977127,   -6.964037959007,  -7.3704409652404,  -7.4788714025474,  -9.1621783805919, 0.068382136435278,   1.2172343226376
         131, 0.017310865189394,  -7.9438710908216,  -6.9776638043124,  -7.3873286837203,  -7.4857805528161,  -9.1628622517686, 0.068383842714866,   1.2175976208188
         132, 0.017303486654135,  -7.9448942894558,  -6.9919025757977,  -7.4052367581253,  -7.4933472775761,  -9.1652982153324, 0.068384832218242,   1.2179582213322
         133, 0.017296155402985,  -7.9473167224149,  -7.0066194722582,  -7.4241445184745,  -7.5018999980779,  -9.1697512670232, 0.068385303724511,   1.2183159177351
         134, 0.017289143733333,  -7.9514641510077,  -7.0216335235305,  -7.4440246110498,  -7.5116051662506,  -9.1763685367891, 0.068385454062415,   1.2186705344633
         135, 0.017282033205882,  -7.9575336286003,  -7.0367654423889,  -7.4647158790442,  -7.5225467077211,  -9.1852875601763, 0.068385427034026,   1.2190218050954
         136, 0.017274809985401,  -7.9657268703928,  -7.0518170163681,  -7.4859598000766,  -7.5348222620713,   -9.196628760803, 0.068385339398539,   1.2193694698635
